2025-06-07T08:04:06+00:00
Running ./build/benchmarks/run_benchmarks
Run on (4 X 2300 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 46080 KiB (x1)
Load Average: 0.30, 0.52, 0.45
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_PlainBitonicSort/64",471176,1459.98,1459.1,ns,,,,,
"BM_PlainBitonicSort/128",196367,3562.92,3561.3,ns,,,,,
"BM_PlainBitonicSort/256",79209,8624.58,8622.64,ns,,,,,
"BM_PlainBitonicSort/512",13580,50340.3,50313.9,ns,,,,,
"BM_PlainBitonicSort/1024",4485,157058,156983,ns,,,,,
"BM_PlainBitonicSort/2048",1813,382721,382537,ns,,,,,
"BM_PlainBitonicSort/4096",779,922954,922541,ns,,,,,
"BM_PlainBitonicSort/8192",308,2.10084e+06,2.09971e+06,ns,,,,,
"BM_PlainBitonicSort/16384",156,4.49461e+06,4.4922e+06,ns,,,,,
"BM_PlainBitonicSort/32768",73,9.97417e+06,9.96922e+06,ns,,,,,
"BM_PlainBitonicSort/65536",33,2.10281e+07,2.10182e+07,ns,,,,,
"BM_PlainBitonicSort_BigO",,20.0713,20.0616,NlgN,,,,,
"BM_PlainBitonicSort_RMS",,1.68968e-11,1.69012e-11,,,,,,
"BM_StdThreadBitonicSort/64/0",465921,1519.96,1519.33,ns,,,,,
"BM_StdThreadBitonicSort/128/0",181111,4463.34,4460.63,ns,,,,,
"BM_StdThreadBitonicSort/256/0",76097,9298.63,9295.67,ns,,,,,
"BM_StdThreadBitonicSort/512/0",10000,50426.3,50419.4,ns,,,,,
"BM_StdThreadBitonicSort/1024/0",4418,159481,159423,ns,,,,,
"BM_StdThreadBitonicSort/2048/0",1829,527448,340195,ns,,,,,
"BM_StdThreadBitonicSort/4096/0",970,984153,731318,ns,,,,,
"BM_StdThreadBitonicSort/8192/0",470,1.94184e+06,1.40752e+06,ns,,,,,
"BM_StdThreadBitonicSort/16384/0",285,2.68393e+06,2.48419e+06,ns,,,,,
"BM_StdThreadBitonicSort/32768/0",128,6.3242e+06,5.93696e+06,ns,,,,,
"BM_StdThreadBitonicSort/65536/0",57,1.17385e+07,1.13829e+07,ns,,,,,
"BM_StdThreadBitonicSort/64/2",409547,1552.31,1552.11,ns,,,,,
"BM_StdThreadBitonicSort/128/2",182646,3840.98,3840.52,ns,,,,,
"BM_StdThreadBitonicSort/256/2",78121,8849.93,8848.83,ns,,,,,
"BM_StdThreadBitonicSort/512/2",14794,47105.6,47097.2,ns,,,,,
"BM_StdThreadBitonicSort/1024/2",4550,148400,148377,ns,,,,,
"BM_StdThreadBitonicSort/2048/2",2455,385330,291863,ns,,,,,
"BM_StdThreadBitonicSort/4096/2",1236,691127,570500,ns,,,,,
